id,category,amount
8834,Travel,133.7
8835,Utilities,2181.13
8836,Shopping,2663.14
8837,Utilities,3385.07
8838,Rent,2135.28
8839,Rent,2984.84
8840,Rent,158.12
8841,Food,2810.68
8842,Shopping,1002.83
8843,Travel,3038.74
8844,Travel,4114.7
8845,Rent,4610.63
8846,Rent,4449.29
8847,Rent,4117.73
8848,Food,1772.64
8849,Food,2627.83
8850,Travel,3500.39
8851,Rent,104.71
8852,Food,4899.32
8853,Rent,2079.87
8854,Food,1559.9
8855,Shopping,3137.92
8856,Food,3777.93
8857,Food,262.38
8858,Utilities,2433.41
8859,Rent,630.37
8860,Shopping,196.38
8861,Shopping,2931.97
8862,Utilities,3843.68
8863,Utilities,349.04
8864,Utilities,3788.86
8865,Shopping,2875.1
8866,Shopping,1253.96
8867,Food,1590.16
8868,Travel,221.06
8869,Utilities,3048.16
8870,Food,4041.08
8871,Shopping,3236.45
8872,Utilities,4110.34
8873,Rent,3918.8
8874,Utilities,4948.59
8875,Travel,3243.65
8876,Travel,2321.61
8877,Rent,3428.93
8878,Rent,1917.28
8879,Utilities,3752.03
8880,Food,2060.33
8881,Rent,4777.71
8882,Travel,1089.26
8883,Shopping,4763.21
8884,Rent,2404.66
8885,Shopping,1248.73
8886,Travel,3813.35
8887,Rent,923.25
8888,Utilities,3351.96
8889,Utilities,1452.64
8890,Utilities,4560.73
8891,Utilities,2235.88
8892,Food,344.31
8893,Shopping,834.06
8894,Rent,4242.13
8895,Travel,141.27
8896,Rent,264.39
8897,Rent,4100.87
8898,Utilities,4222.81
8899,Food,454.22
8900,Food,4206.73
8901,Food,3157.81
8902,Shopping,484.44
8903,Utilities,4719.13
8904,Food,1183.7
8905,Utilities,2862.1
8906,Utilities,2527.24
8907,Utilities,2248.42
8908,Travel,4488.26
8909,Food,4880.3
8910,Food,3657.47
8911,Utilities,2523.21
8912,Utilities,4823.27
8913,Utilities,162.37
8914,Food,4852.84
8915,Rent,4471.88
8916,Shopping,2680.17
8917,Travel,3791.59
8918,Rent,4734.55
8919,Shopping,2614.51
8920,Travel,2859.73
8921,Rent,4862.87
8922,Shopping,2193.96
8923,Food,2700.11
8924,Food,4061.23
8925,Shopping,2705.07
8926,Rent,2376.8
8927,Rent,3336.25
8928,Travel,4212.17
8929,Rent,2821.51
8930,Shopping,2982.45
8931,Food,3825.4
8932,Food,4671.4
8933,Utilities,4456.04
8934,Utilities,1359.38
8935,Travel,3003.51
8936,Rent,2802.85
8937,Utilities,760.68
8938,Rent,2897.19
8939,Rent,3326.27
8940,Food,1343.0
8941,Utilities,1779.66
8942,Food,1300.67
8943,Food,3952.68
8944,Rent,571.34
8945,Rent,229.67
8946,Utilities,3215.21
8947,Travel,2442.66
8948,Utilities,2795.36
8949,Shopping,3617.1
8950,Shopping,543.97
8951,Rent,2909.36
8952,Rent,916.81
8953,Food,4424.99
8954,Rent,3513.04
8955,Shopping,4177.08
8956,Rent,1924.82
8957,Travel,3604.57
8958,Utilities,2152.25
8959,Shopping,2270.77
8960,Shopping,766.93
8961,Rent,67.96
8962,Utilities,1696.71
8963,Rent,720.28
8964,Shopping,2904.19
8965,Travel,4129.34
8966,Rent,1383.33
8967,Utilities,634.04
8968,Utilities,4838.63
8969,Travel,1336.93
8970,Rent,2668.19
8971,Utilities,1147.48
8972,Food,4402.87
8973,Travel,4925.21
8974,Rent,2402.82
8975,Utilities,2231.42
8976,Utilities,350.07
8977,Food,3119.96
8978,Food,455.02
8979,Food,1080.11
8980,Food,2936.62
8981,Travel,1795.16
8982,Utilities,3204.08
8983,Travel,4992.91
8984,Travel,3576.53
8985,Food,1170.92
8986,Rent,3601.38
8987,Food,1715.23
8988,Travel,228.52
8989,Shopping,1612.88
8990,Utilities,481.03
8991,Shopping,3901.0
8992,Food,4550.95
8993,Shopping,4533.08
8994,Shopping,3754.88
8995,Rent,731.78
8996,Food,3085.24
8997,Rent,1596.24
8998,Food,4366.48
8999,Shopping,1375.26
9000,  UTILITIES  ,2087.79
9001,Food,2355.53
9002,Rent,4483.91
9003,Food,3864.28
9004,Travel,3503.97
9005,Utilities,2695.82
9006,Utilities,3156.13
9007,Utilities,2709.8
9008,Food,4332.83
9009,Rent,4168.31
9010,Travel,493.52
9011,Food,2219.83
9012,Rent,2589.69
9013,Food,3938.51
9014,Shopping,3116.51
9015,Rent,3136.68
9016,Shopping,2734.12
9017,Utilities,3319.21
9018,Utilities,4025.78
9019,Travel,3497.41
9020,Utilities,1985.18
9021,Utilities,2752.27
9022,Shopping,4652.25
9023,Rent,2840.43
9024,Food,1643.36
9025,Utilities,1313.48
9026,Shopping,4019.86
9027,Food,562.12
9028,Utilities,682.49
9029,Utilities,3400.82
9030,Food,4225.64
9031,Rent,4973.47
9032,Travel,3487.98
9033,Rent,4446.88
9034,Food,1762.79
9035,Food,2377.66
9036,Rent,3417.0
9037,Food,1143.08
9038,Utilities,2693.71
9039,Utilities,4039.44
9040,Travel,2112.03
9041,Travel,2059.84
9042,Travel,509.04
9043,Utilities,1306.93
9044,Shopping,3001.47
9045,Rent,2432.69
9046,Food,133.62
9047,Utilities,1512.65
9048,Travel,1500.58
9049,Utilities,1258.59
9050,Food,1473.65
9051,Rent,4993.21
9052,Shopping,3929.73
9053,Utilities,3070.82
9054,Rent,2492.54
9055,Food,1641.1
9056,Rent,1318.03
9057,Food,4102.75
9058,Shopping,1580.59
9059,Shopping,2455.25
9060,Rent,1706.18
9061,Food,2860.34
9062,Shopping,3842.35
9063,Travel,969.51
9064,Utilities,4028.27
9065,Food,2131.51
9066,Travel,4286.62
9067,Shopping,1297.86
9068,Rent,4380.67
9069,Travel,4272.9
9070,Travel,3854.42
9071,Shopping,3505.99
9072,Food,550.91
9073,Shopping,3022.22
9074,Shopping,1152.22
9075,Food,55.69
9076,Rent,809.72
9077,Travel,600.89
9078,Travel,1477.62
9079,Rent,2146.63
9080,Rent,3472.81
9081,Rent,1559.98
9082,Travel,3821.41
9083,Utilities,345.99
9084,Food,527.24
9085,Travel,1411.84
9086,Food,470.58
9087,Utilities,4078.27
9088,Shopping,2671.71
9089,Utilities,3200.7
9090,Food,40.54
9091,Utilities,84.92
9092,Rent,2948.16
9093,Rent,2411.19
9094,Rent,4958.27
9095,Travel,987.46
9096,Food,872.72
9097,Utilities,4413.57
9098,Shopping,2226.0
9099,Food,4655.62
9100,Shopping,2236.12
9101,Rent,3964.72
9102,Travel,3196.58
9103,Rent,389.94
9104,Food,4598.41
9105,Food,1027.42
9106,Shopping,1151.75
9107,Rent,1717.33
9108,Rent,1735.14
9109,Utilities,3650.19
9110,Utilities,249.99
9111,Utilities,1758.27
9112,Travel,1848.79
9113,Shopping,4740.46
9114,Travel,1555.72
9115,Food,3362.03
9116,Travel,2522.28
9117,Shopping,1816.53
9118,Shopping,245.27
9119,Rent,1279.78
9120,Shopping,1433.18
9121,Rent,1699.31
9122,Travel,4350.65
9123,Food,565.9
9124,Travel,779.28
9125,Rent,1434.48
9126,Utilities,3077.74
9127,Rent,3414.04
9128,Utilities,3669.86
9129,Food,2259.24
9130,Rent,3823.14
9131,Travel,3325.85
9132,Travel,2451.53
9133,Food,966.22
9134,Utilities,2699.09
9135,Travel,4100.04
9136,Rent,1774.61
9137,Food,3278.72
9138,Food,4007.97
9139,Food,3037.64
9140,Rent,4811.96
9141,Food,1282.1
9142,Travel,175.67
9143,Utilities,4971.71
9144,Travel,1631.75
9145,Utilities,2520.18
9146,Travel,1341.16
9147,Travel,1661.81
9148,Travel,4406.67
9149,Food,188.46
9150,Food,2578.36
9151,Rent,2208.3
9152,Utilities,1440.16
9153,Food,4214.38
9154,Shopping,4944.6
9155,Shopping,1277.97
9156,Shopping,1315.65
9157,Rent,276.9
9158,Utilities,1059.23
9159,Utilities,4396.25
9160,Food,2380.81
9161,Utilities,1095.04
9162,Utilities,544.69
9163,Shopping,1212.21
9164,Utilities,625.43
9165,Utilities,2287.9
9166,Utilities,2567.34
9167,Shopping,4371.93
9168,Rent,4021.49
9169,Utilities,2900.61
9170,Utilities,2643.19
9171,Travel,4425.15
9172,Utilities,314.0
9173,Shopping,2411.39
9174,Travel,4189.18
9175,Food,1378.46
9176,Rent,3408.31
9177,Shopping,1890.44
9178,Food,4053.02
9179,Utilities,2706.83
9180,Rent,3555.26
9181,Travel,1346.32
9182,Travel,4159.89
9183,Travel,2966.04
9184,Travel,2612.1
9185,Travel,2844.39
9186,Food,763.23
9187,Food,4926.8
9188,Utilities,2504.85
9189,Rent,4600.55
9190,Travel,4719.07
9191,Utilities,1058.35
9192,Travel,2590.23
9193,Utilities,4621.53
9194,Utilities,2789.66
9195,Travel,847.24
9196,Food,233.46
9197,Food,84.37
9198,Travel,886.89
9199,Food,91.22
9200,Utilities,1935.84
9201,Rent,1903.22
9202,Food,4551.1
9203,Utilities,4207.96
9204,Utilities,3360.65
9205,Utilities,4598.56
9206,Rent,3577.18
9207,Food,65.91
9208,Food,4090.97
9209,Travel,1869.63
9210,Food,1450.93
9211,Travel,4489.73
9212,Shopping,4643.5
9213,Travel,3209.35
9214,Food,2952.27
9215,Food,3932.98
9216,Shopping,2111.49
9217,Utilities,3211.16
9218,Travel,1581.16
9219,Rent,4333.11
9220,Utilities,1588.8
9221,Food,184.0
9222,Travel,3669.34
9223,Food,2290.65
9224,Rent,4580.84
9225,Food,1856.59
9226,Shopping,4717.86
9227,Utilities,1902.16
9228,Food,1663.72
9229,Food,2185.2
9230,Rent,2116.19
9231,Food,378.39
9232,Rent,4581.54
9233,Shopping,4338.84
9234,Food,3523.36
9235,Travel,4934.04
9236,Food,4040.74
9237,Utilities,1626.42
9238,Rent,3074.45
9239,Utilities,1351.63
9240,Utilities,2352.47
9241,Utilities,3079.73
9242,Shopping,3867.3
9243,Travel,2155.18
9244,Utilities,1019.49
9245,Utilities,712.73
9246,Utilities,3630.82
9247,Utilities,3112.93
9248,Travel,1948.19
9249,Rent,3926.71
9250,Utilities,1178.06
9251,Rent,2794.57
9252,Utilities,4489.55
9253,Utilities,600.38
9254,Utilities,4975.08
9255,Rent,3910.13
9256,Food,1826.78
9257,Shopping,4016.23
9258,Rent,911.24
9259,Rent,4221.03
9260,Utilities,2277.81
9261,Rent,126.63
9262,Utilities,1191.37
9263,Food,4716.91
9264,Travel,2163.75
9265,Shopping,2278.22
9266,Utilities,2890.79
9267,Travel,1906.9
9268,Shopping,4889.11
9269,Utilities,4275.36
9270,Utilities,1849.03
9271,Travel,4704.32
9272,Rent,1812.42
9273,Utilities,1578.63
9274,Food,2308.25
9275,Rent,1461.03
9276,Food,3358.11
9277,Travel,2446.51
9278,Rent,3014.59
9279,Food,491.89
9280,Utilities,731.82
9281,Food,3046.67
9282,Utilities,2020.04
9283,Travel,2184.35
9284,Travel,821.97
9285,Utilities,4715.7
9286,Shopping,2566.01
9287,Food,2251.9
9288,Shopping,3607.82
9289,Shopping,1339.34
9290,Travel,535.13
9291,Utilities,1739.59
9292,Shopping,1870.51
9293,Food,1601.61
9294,Utilities,640.83
9295,Utilities,716.26
9296,Shopping,2489.76
9297,Food,3554.43
9298,Food,4691.1
9299,Food,326.21
9300,Rent,1105.59
9301,Shopping,2055.94
9302,Food,2302.2
9303,Travel,4138.13
9304,Shopping,4239.62
9305,Rent,4959.48
9306,Utilities,823.15
9307,Utilities,3059.02
9308,Shopping,35.23
9309,Food,2432.52
9310,Utilities,922.01
9311,Shopping,3588.21
9312,Travel,459.55
9313,Rent,371.72
9314,Utilities,4621.74
9315,Shopping,41.17
9316,Food,304.0
9317,Shopping,4715.43
9318,Food,466.42
9319,Utilities,1865.29
9320,Food,3055.99
9321,Rent,4430.68
9322,Food,4905.46
9323,Food,1581.77
9324,Rent,413.55
9325,Food,3721.9
9326,Travel,4735.55
9327,Rent,275.67
9328,Utilities,689.46
9329,Food,173.81
9330,Food,4050.21
9331,Utilities,1576.41
9332,Food,32.97
9333,Rent,1289.56
9334,Food,4387.51
9335,Utilities,3928.19
9336,Utilities,3559.77
9337,Shopping,1142.75
9338,Travel,3989.27
9339,Utilities,2346.94
9340,Utilities,2781.11
9341,Travel,4327.37
9342,Rent,1729.62
9343,Utilities,1292.88
9344,Rent,3832.3
9345,Rent,4183.3
9346,Food,4797.09
9347,Utilities,4629.22
9348,Rent,1018.9
9349,Shopping,4056.57
9350,Food,1073.95
9351,Food,187.25
9352,Shopping,236.57
9353,Shopping,3875.67
9354,Utilities,2022.38
9355,Travel,352.92
9356,Shopping,1074.55
9357,Shopping,2194.87
9358,Utilities,3822.07
9359,Travel,1693.6
9360,Travel,2109.18
9361,Food,2034.1
9362,Shopping,4895.28
9363,Rent,204.2
9364,Rent,2244.55
9365,Utilities,2744.29
9366,Shopping,4456.07
9367,Utilities,2521.87
9368,Utilities,1525.16
9369,Travel,1596.42
9370,Travel,1919.3
9371,Shopping,2035.4
9372,Travel,2705.56
9373,Shopping,1676.62
9374,Rent,4083.36
9375,Shopping,3526.39
9376,Rent,1806.93
9377,Utilities,1684.46
9378,Food,1827.47
9379,Rent,805.68
9380,Utilities,922.03
9381,Food,2974.39
9382,Utilities,4685.22
9383,Shopping,544.63
9384,Rent,3148.43
9385,Shopping,3655.79
9386,Utilities,517.57
9387,Travel,507.65
9388,Food,4983.94
9389,Rent,3896.76
9390,Rent,482.83
9391,Food,720.2
9392,Shopping,3523.76
9393,Rent,3413.07
9394,Food,3436.82
9395,Travel,849.27
9396,Food,2036.55
9397,Utilities,1861.04
9398,Travel,1582.48
9399,Shopping,3496.18
9400,Food,3416.11
9401,Food,4465.91
9402,Travel,919.38
9403,Shopping,3926.82
9404,Utilities,1793.15
9405,Food,62.77
9406,Rent,3800.14
9407,Food,403.91
9408,Food,1692.93
9409,Travel,4533.46
9410,Shopping,4833.4
9411,Utilities,1305.55
9412,Utilities,1705.52
9413,Rent,1419.77
9414,Rent,508.47
9415,Rent,3523.88
9416,Travel,2323.84
9417,Utilities,257.09
9418,Shopping,3544.4
9419,Utilities,3373.62
9420,Food,4568.14
9421,Food,250.24
9422,Rent,1446.35
9423,Utilities,1089.0
9424,Shopping,3866.58
9425,Food,1024.28
9426,Utilities,601.4
9427,Shopping,1747.57
9428,Food,4392.65
9429,Rent,237.58
9430,Utilities,3496.66
9431,Shopping,331.4
9432,Utilities,1506.46
9433,Utilities,4550.19
9434,Travel,4952.52
9435,Shopping,4403.7
9436,Utilities,4460.62
9437,Utilities,1802.28
9438,Travel,4547.42
9439,Utilities,1708.93
9440,Food,1813.12
9441,Food,175.96
9442,Rent,4819.13
9443,Utilities,4703.45
9444,Food,3224.19
9445,Rent,2860.25
9446,Utilities,303.36
9447,Utilities,1940.42
9448,Rent,2392.73
9449,Food,3893.69
9450,Travel,4980.62
9451,Utilities,1342.61
9452,Travel,3586.12
9453,Travel,3314.44
9454,Utilities,4242.91
9455,Shopping,2909.46
9456,Shopping,4310.82
9457,Food,23.87
9458,Rent,2297.8
9459,Travel,1677.53
9460,Food,1097.65
9461,Shopping,4143.93
9462,Food,2471.22
9463,Rent,1572.39
9464,Travel,4495.23
9465,Travel,1436.49
9466,Rent,2690.82
9467,Travel,2914.74
9468,Travel,3310.84
9469,Utilities,3515.26
9470,Travel,1101.99
9471,Travel,1545.5
9472,Food,358.02
9473,Food,2860.88
9474,Rent,4196.26
9475,Food,1787.29
9476,Food,3189.66
9477,Utilities,2783.37
9478,Rent,2557.08
9479,Travel,79.58
9480,Food,451.05
9481,Rent,2225.92
9482,Travel,3085.17
9483,Food,1415.13
9484,Shopping,4788.86
9485,Rent,1677.07
9486,Utilities,2786.85
9487,Utilities,2261.23
9488,Utilities,4304.91
9489,Food,863.25
9490,Utilities,3857.62
9491,Shopping,845.76
9492,Food,1162.42
9493,Travel,2101.21
9494,Travel,3988.72
9495,Travel,2293.29
9496,Shopping,2608.1
9497,Food,1286.61
9498,Rent,4450.74
9499,Utilities,639.15
9500,Rent,581.53
9501,Shopping,4210.85
9502,Travel,3571.33
9503,Utilities,40.53
9504,Travel,2162.93
9505,Travel,503.88
9506,Utilities,3630.53
9507,Travel,346.95
9508,Utilities,3930.52
9509,Utilities,2868.53
9510,Rent,3616.72
9511,Shopping,2832.06
9512,Rent,541.02
9513,Food,2520.63
9514,Travel,2682.3
9515,Shopping,2755.69
9516,Food,3654.35
9517,Shopping,2849.19
9518,Rent,3454.43
9519,Rent,845.72
9520,Food,1914.78
9521,Utilities,231.84
9522,Food,3754.56
9523,Shopping,4586.67
9524,Rent,2679.54
9525,Utilities,4291.82
9526,Food,2741.97
9527,Rent,3047.2
9528,Travel,2547.52
9529,Utilities,2403.16
9530,Travel,4020.49
9531,Shopping,1665.18
9532,Shopping,4332.5
9533,Food,4977.19
9534,Travel,848.93
9535,Rent,820.94
9536,Food,896.38
9537,Travel,3079.06
9538,Utilities,646.03
9539,Travel,685.0
9540,Travel,305.21
9541,Food,1394.35
9542,Rent,4937.14
9543,Travel,3658.4
9544,Utilities,3741.39
9545,Food,2113.09
9546,Shopping,2890.6
9547,Travel,3508.49
9548,Travel,3681.24
9549,Food,646.63
9550,Travel,4893.59
9551,Shopping,4686.15
9552,Travel,1102.9
9553,Travel,661.62
9554,Rent,2495.15
9555,Travel,3480.31
9556,Food,1226.06
9557,Travel,216.73
9558,Travel,2521.66
9559,Rent,1683.97
9560,Food,2041.72
9561,Rent,993.24
9562,Food,1728.73
9563,Utilities,1161.74
9564,Rent,2290.02
9565,Shopping,1995.44
9566,Utilities,488.81
9567,Utilities,1128.98
9568,Food,3422.1
9569,Travel,4953.44
9570,Food,2084.4
9571,Food,2353.69
9572,Rent,4327.29
9573,Food,4304.4
9574,Travel,2914.38
9575,Utilities,1098.67
9576,Food,1325.72
9577,Utilities,4107.68
9578,Food,3104.24
9579,Rent,819.39
9580,Utilities,414.99
9581,Travel,4695.04
9582,Rent,2439.37
9583,Utilities,288.83
9584,Rent,2790.33
9585,Shopping,4844.51
9586,Rent,4208.76
9587,Rent,2307.92
9588,Food,1921.99
9589,Rent,4650.01
9590,Food,2855.94
9591,Rent,1816.63
9592,Food,1522.95
9593,Shopping,3896.23
9594,Shopping,1509.51
9595,Food,2210.47
9596,Rent,1963.67
9597,Travel,3427.44
9598,Utilities,3853.35
9599,Travel,2842.09
9600,Shopping,52.6
9601,Utilities,1890.87
9602,Rent,956.97
9603,Travel,1932.85
9604,Rent,4411.5
9605,Food,451.41
9606,Travel,1286.07
9607,Rent,3330.67
9608,Shopping,4704.78
9609,Utilities,3480.18
9610,Shopping,3370.8
9611,Food,3399.1
9612,Utilities,3184.8
9613,Food,2673.67
9614,Rent,4746.23
9615,Utilities,4752.35
9616,Utilities,499.45
9617,Utilities,4652.22
9618,Travel,3200.96
9619,Shopping,4538.12
9620,Food,3293.49
9621,Utilities,3416.66
9622,Shopping,1110.81
9623,Utilities,1700.79
9624,Travel,4437.93
9625,Shopping,4736.7
9626,Travel,4445.93
9627,Food,1829.71
9628,Travel,1132.32
9629,Shopping,4746.68
9630,Food,4046.49
9631,Travel,396.97
9632,Shopping,4243.21
9633,Utilities,2502.55
9634,Food,1875.57
9635,Shopping,1855.28
9636,Rent,3894.03
9637,Rent,4581.53
9638,Utilities,3378.95
9639,Rent,1660.82
9640,Rent,2012.87
9641,Shopping,3611.51
9642,Shopping,4735.48
9643,Shopping,4835.6
9644,Rent,1859.89
9645,Rent,4955.73
9646,Shopping,1971.21
9647,Utilities,3886.83
9648,Rent,4811.75
9649,Food,2160.23
9650,Shopping,641.1
9651,Travel,1722.86
9652,Shopping,120.41
9653,Food,2867.71
9654,Utilities,4586.15
9655,Shopping,2545.15
9656,Shopping,934.97
9657,Rent,2983.76
9658,Shopping,3934.77
9659,Shopping,2882.83
9660,Rent,1517.41
9661,Rent,916.8
9662,Travel,77.6
9663,Shopping,692.18
9664,Shopping,3886.83
9665,Utilities,4936.62
9666,Shopping,916.15
9667,Food,4666.29
9668,Shopping,272.67
9669,Shopping,3256.82
9670,Utilities,985.11
9671,Travel,4705.38
9672,Food,1511.98
9673,Shopping,4431.79
9674,Travel,3594.79
9675,Food,2269.5
9676,Rent,1107.85
9677,Rent,1137.77
9678,Food,159.64
9679,Food,2483.46
9680,Utilities,4111.54
9681,Travel,719.02
9682,Food,406.21
9683,Utilities,2238.7
9684,Utilities,1411.45
9685,Travel,1053.49
9686,Shopping,3698.23
9687,Travel,2170.4
9688,Utilities,3989.58
9689,Shopping,1342.63
9690,Rent,252.56
9691,Rent,978.04
9692,Travel,4349.77
9693,Food,3460.59
9694,Rent,3985.2
9695,Travel,1120.6
9696,Rent,2319.37
9697,Travel,2890.75
9698,Rent,3413.02
9699,Rent,949.62
9700,Rent,26.99
9701,Shopping,4556.02
9702,Food,4625.75
9703,Shopping,4078.3
9704,Rent,4662.82
9705,Food,132.69
9706,Shopping,1634.16
9707,Utilities,3294.84
9708,Food,191.47
9709,Travel,2424.39
9710,Travel,3650.15
9711,Food,1552.85
9712,Shopping,2320.94
9713,Travel,608.38
9714,Food,3025.03
9715,Travel,4838.62
9716,Food,3848.5
9717,Travel,3817.69
9718,Utilities,4032.55
9719,Food,2476.94
9720,Travel,4543.08
9721,Travel,616.9
9722,Rent,3115.95
9723,Shopping,3548.84
9724,Utilities,3880.07
9725,Travel,4533.36
9726,Food,3008.66
9727,Travel,2882.31
9728,Rent,3922.62
9729,Shopping,647.82
9730,Shopping,4832.14
9731,Shopping,4137.96
9732,Travel,4548.63
9733,Travel,853.19
9734,Rent,1141.93
9735,Utilities,958.62
9736,Utilities,3020.91
9737,Travel,17.11
9738,Shopping,4265.79
9739,Travel,3911.47
9740,Travel,654.72
9741,Rent,2139.84
9742,Utilities,1756.54
9743,Food,2353.02
9744,Food,4537.92
9745,Utilities,4880.85
9746,Food,2562.14
9747,Rent,3039.6
9748,Food,3824.81
9749,Travel,4150.53
9750,Travel,1911.85
9751,Food,80.66
9752,Food,788.29
9753,Food,1777.56
9754,Utilities,1119.08
9755,Utilities,3392.08
9756,Travel,3533.37
9757,Rent,3334.44
9758,Rent,4615.98
9759,Shopping,2675.32
9760,Shopping,3898.96
9761,Rent,1009.52
9762,Rent,3771.22
9763,Travel,734.29
9764,Travel,4910.94
9765,Travel,716.76
9766,Travel,4599.02
9767,Utilities,94.27
9768,Food,3774.36
9769,Shopping,1276.24
9770,Travel,1737.07
9771,Utilities,779.87
9772,Travel,901.4
9773,Shopping,2031.09
9774,Rent,923.37
9775,Utilities,4964.58
9776,Shopping,1063.21
9777,Food,4502.09
9778,Travel,4167.25
9779,Rent,4323.82
9780,Travel,342.68
9781,Food,2662.55
9782,Shopping,1990.13
9783,Rent,1386.14
9784,Travel,41.5
9785,Shopping,1153.28
9786,Utilities,4749.39
9787,Food,3269.47
9788,Shopping,751.0
9789,Food,1106.56
9790,Rent,880.83
9791,Food,2548.5
9792,Shopping,3323.21
9793,Travel,2858.84
9794,Rent,3287.69
9795,Rent,325.66
9796,Shopping,3955.86
9797,Food,1814.05
9798,Shopping,2847.7
9799,Travel,4684.55
9800,Food,1847.75
9801,Rent,4887.0
9802,Shopping,369.38
9803,Utilities,3834.47
9804,Shopping,1656.44
9805,Shopping,94.37
9806,Food,2885.4
9807,Rent,2966.2
9808,Travel,2958.76
9809,Rent,2740.14
9810,Shopping,4026.22
9811,Food,2391.03
9812,Food,4057.91
9813,Food,1275.57
9814,Rent,4882.21
9815,Food,364.89
9816,Rent,489.51
9817,Food,756.86
9818,Food,4704.6
9819,Utilities,1225.82
9820,Rent,4530.63
9821,Utilities,2023.63
9822,Utilities,2836.98
9823,Rent,2035.86
9824,Utilities,4774.91
9825,Rent,1085.94
9826,Travel,2137.55
9827,Rent,1164.31
9828,Utilities,4925.6
9829,Travel,667.94
9830,Rent,3378.0
9831,Food,2307.31
9832,Shopping,3480.31
9833,Utilities,2678.48
9834,Rent,3247.25
9835,Rent,1768.56
9836,Travel,4704.12
9837,Utilities,4501.55
9838,Shopping,1023.05
9839,Utilities,467.56
9840,Rent,1650.79
9841,Travel,164.08
9842,Utilities,3363.85
9843,Utilities,3188.3
9844,Travel,1173.54
9845,Travel,237.95
9846,Food,2934.61
9847,Shopping,4212.4
9848,Shopping,2436.59
9849,Rent,1368.71
9850,Shopping,2819.57
9851,Rent,3999.71
9852,Shopping,2404.89
9853,Food,15.94
9854,Rent,4841.17
9855,Rent,1984.26
9856,Shopping,2728.33
9857,Rent,2487.09
9858,Shopping,2866.26
9859,Utilities,2256.19
9860,Shopping,4425.22
9861,Food,2104.75
9862,Travel,1934.43
9863,Shopping,2138.89
9864,Food,1292.09
9865,Shopping,174.8
9866,Rent,1228.88
9867,Shopping,3498.17
9868,Rent,1003.91
9869,Utilities,3698.18
9870,Shopping,2829.58
9871,Utilities,940.49
9872,Rent,2212.48
9873,Food,4414.83
9874,Utilities,3253.87
9875,Travel,2850.86
9876,Rent,1121.47
9877,Travel,257.23
9878,Shopping,2971.89
9879,Food,904.44
9880,Shopping,559.51
9881,Utilities,813.9
9882,Rent,3375.36
9883,Rent,1505.55
9884,Food,4268.09
9885,Utilities,1457.0
9886,Utilities,3107.62
9887,Utilities,4204.08
9888,Shopping,3062.5
9889,Shopping,4613.79
9890,Rent,3290.72
9891,Travel,1499.7
9892,Shopping,3771.06
9893,Shopping,3729.19
9894,Shopping,3548.09
9895,Food,3960.62
9896,Shopping,3063.81
9897,Rent,2851.23
9898,Utilities,2949.55
9899,Utilities,1219.87
9900,Shopping,1386.18
9901,Rent,1432.59
9902,Utilities,4405.78
9903,Rent,1326.33
9904,Utilities,3797.76
9905,Utilities,864.97
9906,Travel,248.24
9907,Shopping,2507.52
9908,Travel,3031.14
9909,Rent,3620.49
9910,Travel,4941.75
9911,Utilities,3216.3
9912,Utilities,2917.36
9913,Shopping,507.8
9914,Travel,527.02
9915,Food,4988.55
9916,Utilities,2233.26
9917,Food,3459.45
9918,Food,4303.5
9919,Food,2399.86
9920,Shopping,4497.2
9921,Utilities,1745.26
9922,Shopping,3155.18
9923,Rent,1859.01
9924,Rent,4003.76
9925,Travel,4297.13
9926,Travel,196.09
9927,Food,224.12
9928,Shopping,2837.76
9929,Shopping,1913.69
9930,Food,750.42
9931,Utilities,1125.0
9932,Food,4116.57
9933,Travel,4487.22
9934,Shopping,542.11
9935,Food,1028.16
9936,Rent,1673.26
9937,Rent,4322.95
9938,Utilities,3537.82
9939,Rent,959.67
9940,Utilities,1693.54
9941,Rent,4819.57
9942,Utilities,4700.2
9943,Food,4614.26
9944,Utilities,1099.82
9945,Food,1312.85
9946,Shopping,2767.23
9947,Travel,1304.28
9948,Shopping,1988.78
9949,Travel,432.36
9950,Travel,4673.4
9951,Utilities,1861.22
9952,Travel,1490.15
9953,Travel,960.56
9954,Rent,796.28
9955,Travel,177.09
9956,Travel,982.56
9957,Rent,1470.85
9958,Shopping,2038.82
9959,Food,103.4
9960,Travel,3319.8
9961,Utilities,2084.27
9962,Rent,3909.34
9963,Utilities,4157.66
9964,Food,2765.32
9965,Shopping,3556.67
9966,Travel,2849.71
9967,Shopping,1913.33
9968,Utilities,4796.72
9969,Travel,4431.74
9970,Food,3236.7
9971,Rent,2196.39
9972,Shopping,331.41
9973,Shopping,949.73
9974,Food,1517.47
9975,Shopping,301.64
9976,Travel,2687.44
9977,Shopping,4736.77
9978,Travel,818.32
9979,Utilities,3051.41
9980,Shopping,2116.4
9981,Shopping,914.06
9982,Shopping,3651.87
9983,Travel,1002.86
9984,Travel,2606.37
9985,Travel,3121.81
9986,Travel,56.5
9987,Food,680.87
9988,Rent,2872.35
9989,Food,1085.48
9990,Food,1156.31
9991,Travel,994.37
9992,Rent,2347.55
9993,Food,3672.98
9994,Food,3354.93
9995,Rent,3918.73
9996,Shopping,4664.75
9997,Food,2193.32
9998,Rent,718.55
9999,Rent,3052.27
10000,Shopping,
